GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0050808	synapse organization	1.85e-09	1.85e-09	1	ASIC2,DLG4,APP,NRXN1,CDH2,SLIT1,EPHA4,NFASC,NTRK1,EPHA7,PTPRD,UNC13B,CHRNA7,SLITRK5,PCDH17,SDK2,TMEM108,SYNPO,SLITRK4,FLRT2,ELFN1,AMIGO1,FLRT3,NTRK2,SEZ6L,LRRTM1,KALRN,KLK8,ANK3,SLITRK1
GO:0090287	regulation of cellular response to growth factor stimulus	1.46e-05	1.46e-05	1	GATA6,HTRA1,TEK,GATA3,SULF1,ANGPT1,CXCL13,TMEM204,BAMBI,RNF165,FAM20C,ITGA8,ENG,NGF,SFRP2,SLIT2,CRB2,FGF1,SPRY1,NPNT,NBL1,TMEM108,MSX1,KCP
GO:0001525	angiogenesis	4.56e-04	4.56e-04	1	SERPINF1,GATA6,TEK,ELK3,CD34,SULF1,SPARC,PECAM1,ANGPT1,EMP2,ADAMTS1,EPAS1,NRP1,ENG,LEF1,SFRP2,PITX2,NTRK1,TGFA,CHRNA7,SLIT2,ANXA2,RAMP1,FGF1,AMOT,NDNF,PTK2B
GO:0003013	circulatory system process	4.79e-09	4.79e-09	1	TBX2,JUP,CORIN,ATP1A2,ACE2,NKX2-5,FLI1,CD34,HEY2,ASIC2,CACNA1G,CHGA,ANGPT1,EMP2,EPAS1,DSC2,ATP1B1,ENG,COL1A2,KCNJ8,CHRNA7,ADRB3,SLIT2,PLN,RAMP3,AMOT,KCNJ2,PDE3A,KCNA5,ADRA1A,TRHDE,NCALD,CTNNA3,BVES,HEG1
GO:0003002	regionalization	7.42e-03	7.42e-03	1	HOXA10,NKX2-5,TBX3,HEY2,SUFU,NRP1,LEF1,SFRP2,PITX2,LFNG,PCSK6,NR2F2,CRB2,PCDH8,FGF1,SPRY1,CDON,ALX4,NBL1,DMRT2,OSR1,MSX1,GAS1,CYP26B1,MAFB
GO:0003012	muscle system process	2.59e-03	2.59e-03	1	JUP,GATA6,ATP1A2,ACE2,NKX2-5,SULF1,HEY2,CACNA1G,CHGA,DSC2,IGFBP5,ATP1B1,KCNJ8,ANXA2,DYSF,HAND2,PLN,NPNT,KCNJ2,KCNA5,ADRA1A,MYH8,LMCD1,CTNNA3
GO:0045666	positive regulation of neuron differentiation	6.44e-03	6.44e-03	1	RNF112,NKX2-5,NEFL,VLDLR,NRP1,STMN2,NGF,NTRK1,PTPRD,SYT1,CDON,BMP6,NBL1,NDNF,AMIGO1,GDF6,FES,NTRK2,PTK2B,KALRN,SLITRK1
GO:0097485	neuron projection guidance	1.13e-05	1.13e-05	1	NFIB,GATA3,LHX9,APP,SLIT1,RNF165,NRP1,EPHA4,NFASC,EFNA3,EPHA7,ARTN,PLXNA4,SLIT2,GAP43,FLRT2,FLRT3,SEMA5B,GAS1,UNC5D,ANK3
GO:0030198	extracellular matrix organization	8.13e-06	8.13e-06	1	SULF1,MMP9,HAS2,COL2A1,CCDC80,APP,SMOC2,KAZALD1,ITGA8,ENG,SPINT1,SFRP2,COL1A2,COL4A6,ANXA2,RXFP1,SCX,DPP4,CSGALNACT1,NPNT,FLRT2,NDNF,SPINT2
GO:0060348	bone development	3.50e-06	3.50e-06	1	KIT,FLI1,SULF1,SPARC,OSR2,HAS2,COL2A1,NAB2,FAM20C,GNAS,SFRP2,PITX2,THBS3,MMP16,ANXA2,SCX,CSGALNACT1,BMP6,MSX1,ZFPM1,AMER1,CYP26B1
GO:0003007	heart morphogenesis	2.29e-03	2.29e-03	1	TBX2,GATA6,TEK,NKX2-5,GATA3,TBX3,HEY2,ANGPT1,HAS2,COL2A1,ADAMTS1,SUFU,EYA1,ENG,SFRP2,PITX2,HAND2,FLRT2,MSX1,ZFPM1,HEG1
GO:0001822	kidney development	1.43e-06	1.43e-06	1	GATA3,SULF1,ANGPT1,OSR2,ADAMTS1,PODXL,NRP1,RDH10,EYA1,EPHA4,ITGA8,MME,EPHA7,SLIT2,WNK4,FGF1,SPRY1,CDKN1C,GCNT1,BMP6,NPNT,FMN1,EPCAM,OSR1,ADAMTS16,AMER1
GO:0010975	regulation of neuron projection development	1.90e-03	1.90e-03	1	GATA3,NEFL,VLDLR,NRP1,EPHA4,PRRX1,VIM,STMN2,NGF,SFRP2,NTRK1,EPHA7,PTPRD,PLXNA4,SLIT2,SYT1,RTN4RL1,NDNF,LRRC4C,AMIGO1,FES,NTRK2,PTK2B,KALRN,KLK8,SLITRK1
GO:0010001	glial cell differentiation	1.38e-03	1.38e-03	1	NFIB,RNF112,CLU,APP,CDH2,NAB2,EPHA4,SERPINE2,VIM,TRPC4,LEF1,MXRA8,ADAM22,GAP43,TENM4,LINGO1,SOX6,NTRK2
GO:0036075	replacement ossification	7.63e-03	7.63e-03	1	COL2A1,NAB2,GNAS,MMP16,SCX,CSGALNACT1,BMP6
GO:0048736	appendage development	2.50e-06	2.50e-06	1	TBX2,HOXA10,SULF1,TBX3,OSR2,COL2A1,RNF165,RDH10,PRRX1,GNAS,LEF1,SFRP2,PITX2,NR2F2,SCX,HAND2,ALX4,FMN1,OSR1,MSX1,GAS1,CYP26B1
GO:0050890	cognition	1.43e-04	1.43e-04	1	ATP1A2,ADCY1,GRIA1,PLK2,APP,ASIC1,NRXN1,ITGA8,GNAS,KCNAB1,PTN,CHRNA7,AP1S2,ST3GAL4,ITPR3,SYNPO,LRRN4,NTRK2,GRM7,KALRN,KLK8,ZCCHC16
GO:0060973	cell migration involved in heart development	3.71e-03	3.71e-03	1	NRP1,ENG,PITX2,HAND2,FLRT3,BVES
GO:0071773	cellular response to BMP stimulus	1.83e-03	1.83e-03	1	GATA6,HTRA1,NKX2-5,GATA3,SULF1,COL2A1,RNF165,ENG,LEF1,SFRP2,SCX,CRB2,BMP6,NBL1,MSX1,GDF6,KCP
GO:0060560	developmental growth involved in morphogenesis	1.21e-03	1.21e-03	1	TBX2,ESR1,APP,SLIT1,NRP1,RDH10,NGF,SFRP2,EPHA7,PLXNA4,DCX,SLIT2,SYT1,FGF1,SPRY1,TMEM108,FMN1,FLRT3,SEMA5B
GO:0060384	innervation	2.36e-05	2.36e-05	1	GABRB2,SULF1,RNF165,NRP1,SERPINE2,NTRK1,UNC13B,GABRB3,COL25A1
